time,open,high,low,close,volume,symbol,target_date
2026-09-07 07:00:00,7.2,7.4,7.2,7.4,10400,DIH,2026-09-07
2026-09-07 07:00:00,2.22,2.22,2.16,2.17,532900,DLG,2026-09-07
2026-09-07 07:00:00,45.0,45.0,45.0,45.0,100,DNH,2026-09-07
2026-09-07 07:00:00,37.4,37.65,37.15,37.15,233500,DPR,2026-09-07
2026-09-07 07:00:00,1.73,1.73,1.7,1.7,102800,DRH,2026-09-07
2026-09-07 07:00:00,14.3,14.4,14.2,14.2,633500,DRI,2026-09-07
2026-09-07 07:00:00,10.75,10.85,10.1,10.35,105500,DSC,2026-09-07
2026-09-07 07:00:00,7.9,8.2,7.5,7.6,112200,DST,2026-09-07
2026-09-07 07:00:00,1.9,1.9,1.9,1.9,300,DTI,2026-09-07
2026-09-07 07:00:00,18.4,18.4,18.3,18.3,3700,DVN,2026-09-07
2026-09-07 07:00:00,3.36,3.36,3.17,3.2,300,DXV,2026-09-07
2026-09-07 07:00:00,4.6,4.6,4.6,4.6,600,E12,2026-09-07
2026-09-07 07:00:00,1.6,1.6,1.6,1.6,1000,EIN,2026-09-07
2026-09-07 07:00:00,14.75,14.75,14.25,14.25,218700,ELC,2026-09-07
2026-09-07 07:00:00,4.3,4.3,4.2,4.24,359200,EVG,2026-09-07
2026-09-07 07:00:00,5.3,5.3,5.2,5.2,262600,EVS,2026-09-07
2026-09-07 07:00:00,3.08,3.08,3.02,3.04,43600,FCM,2026-09-07
2026-09-07 07:00:00,11.4,11.4,11.05,11.3,462200,FCN,2026-09-07
2026-09-07 07:00:00,20.2,20.2,20.2,20.2,600,FDC,2026-09-07
2026-09-07 07:00:00,143.0,143.0,136.4,136.4,315700,FRT,2026-09-07
2026-09-07 07:00:00,12.3,12.3,12.2,12.2,21700,GDA,2026-09-07
2026-09-07 07:00:00,62.8,62.8,61.0,61.0,1298800,GEE,2026-09-07
2026-09-07 07:00:00,23.75,24.0,23.7,23.9,4000,GHC,2026-09-07
2026-09-07 07:00:00,4.0,4.0,3.8,4.0,2100,GMC,2026-09-07
2026-09-07 07:00:00,6.7,6.84,6.7,6.84,300,GMH,2026-09-07
2026-09-07 07:00:00,1.8,1.9,1.8,1.9,14300,GPC,2026-09-07
2026-09-07 07:00:00,9.71,9.87,9.71,9.82,2500,GSP,2026-09-07
2026-09-07 07:00:00,14.0,14.05,13.85,14.0,1545800,HAG,2026-09-07
2026-09-07 07:00:00,41.0,41.0,41.0,41.0,2000,HAM,2026-09-07
2026-09-07 07:00:00,7.32,7.5,7.3,7.45,39200,HAP,2026-09-07
2026-09-07 07:00:00,10.3,10.5,9.63,10.5,500,HAS,2026-09-07
2026-09-07 07:00:00,6.32,6.33,6.27,6.3,29800,HCD,2026-09-07
2026-09-07 07:00:00,27.2,27.65,27.05,27.35,7974600,HDB,2026-09-07
2026-09-07 07:00:00,17.5,17.5,16.95,17.0,1211600,HDG,2026-09-07
2026-09-07 07:00:00,11.0,11.0,11.0,11.0,10300,HEP,2026-09-07
2026-09-07 07:00:00,0.7,0.8,0.7,0.8,65300,HHG,2026-09-07
2026-09-07 07:00:00,3.42,3.58,3.42,3.58,313100,HID,2026-09-07
2026-09-07 07:00:00,13.0,13.8,12.5,13.8,70300,HKT,2026-09-07
2026-09-07 07:00:00,9.2,9.2,9.1,9.1,2500,HMR,2026-09-07
2026-09-07 07:00:00,29.0,29.0,29.0,29.0,4000,HMS,2026-09-07
2026-09-07 07:00:00,16.4,16.4,16.4,16.4,100,HPD,2026-09-07
2026-09-07 07:00:00,4.13,4.13,4.08,4.1,180600,HPX,2026-09-07
2026-09-07 07:00:00,12.45,12.6,12.3,12.4,86900,HT1,2026-09-07
2026-09-07 07:00:00,31.0,31.0,31.0,31.0,300,HTC,2026-09-07
2026-09-07 07:00:00,2.7,2.7,2.7,2.7,100,HU3,2026-09-07
2026-09-07 07:00:00,11.0,11.5,10.7,10.7,2200,ICG,2026-09-07
2026-09-07 07:00:00,4.87,4.92,4.8,4.85,242300,IDI,2026-09-07
2026-09-07 07:00:00,21.1,21.2,21.1,21.1,16100,IDV,2026-09-07
2026-09-07 07:00:00,7.2,7.23,7.08,7.15,1130300,IJC,2026-09-07
2026-09-07 07:00:00,6.1,6.2,6.0,6.0,1700,ILA,2026-09-07
2026-09-07 07:00:00,5.7,5.7,5.7,5.7,300,ILC,2026-09-07
2026-09-07 07:00:00,38.9,38.9,37.0,38.15,9000,IMP,2026-09-07
2026-09-07 07:00:00,11.6,11.65,11.5,11.65,14200,ITD,2026-09-07
2026-09-07 07:00:00,2.94,2.95,2.92,2.92,56800,JVC,2026-09-07
2026-09-07 07:00:00,51.5,51.7,51.4,51.5,34400,KDC,2026-09-07
2026-09-07 07:00:00,5.4,5.5,5.4,5.4,1300,KGM,2026-09-07
2026-09-07 07:00:00,2.35,2.35,2.2,2.2,21500,KMR,2026-09-07
2026-09-07 07:00:00,13.0,13.0,12.4,12.4,700,KST,2026-09-07
2026-09-07 07:00:00,20.2,20.7,20.0,20.1,48400,L14,2026-09-07
2026-09-07 07:00:00,10.0,10.0,9.5,9.5,37800,L63,2026-09-07
2026-09-07 07:00:00,8.3,8.3,8.3,8.3,100,LAI,2026-09-07
2026-09-07 07:00:00,27.9,27.9,27.5,27.9,5200,LBM,2026-09-07
2026-09-07 07:00:00,7.8,7.8,7.6,7.8,12800,LDP,2026-09-07
2026-09-07 07:00:00,46.4,47.0,46.0,46.3,9700,LHC,2026-09-07
2026-09-07 07:00:00,33.4,34.2,33.4,34.2,45100,LSG,2026-09-07
2026-09-07 07:00:00,11.2,11.2,11.2,11.2,2200,MAC,2026-09-07
2026-09-07 07:00:00,20.55,20.65,20.1,20.2,14138400,MBB,2026-09-07
2026-09-07 07:00:00,7.1,7.1,7.1,7.1,13000,MCF,2026-09-07
2026-09-07 07:00:00,2.6,2.6,2.5,2.5,3900,MCG,2026-09-07
2026-09-07 07:00:00,26.45,26.9,26.45,26.7,16500,MCM,2026-09-07
2026-09-07 07:00:00,4.8,4.8,4.8,4.8,200,MCO,2026-09-07
2026-09-07 07:00:00,6.4,6.4,6.4,6.4,900,MEL,2026-09-07
2026-09-07 07:00:00,23.0,23.0,23.0,23.0,1200,MH3,2026-09-07
2026-09-07 07:00:00,15.9,16.0,15.85,15.85,41900,MIG,2026-09-07
2026-09-07 07:00:00,28.6,29.0,28.5,28.6,8400,MML,2026-09-07
2026-09-07 07:00:00,14.3,14.4,14.1,14.3,18400,MPC,2026-09-07
2026-09-07 07:00:00,13.15,13.2,13.05,13.15,1723000,MSB,2026-09-07
2026-09-07 07:00:00,69.0,69.0,68.1,68.6,3682300,MSN,2026-09-07
2026-09-07 07:00:00,11.5,11.55,11.3,11.3,1015100,NAB,2026-09-07
2026-09-07 07:00:00,48.6,48.7,48.1,48.55,287900,NAF,2026-09-07
